url,title,price,lat,lon,Балкон,Балкон остеклён,Безопасность,Бывшее общежитие,Возможен обмен,Высота потолков,Год постройки,Город,Дверь,Жилой комплекс,Интернет,Квартира меблирована,Парковка,Площадь,Пол,Санузел,Состояние квартиры,Телефон,Тип дома,Этаж
https://krisha.kz/a/show/1012526886,"2-комнатная квартира · 53 м² · 1/12 этаж, Караменде би Шакаулы 9/1",23500000,51.1738040784,71.368907953432,несколько балконов или лоджий,,"домофон, видеонаблюдение",нет,Нет,2.7 м,2021,"Астана, Сарыарка р-н",,Баспана Коктал,,полностью,паркинг,"53 м², Площадь кухни — 9.1 м²",ламинат,раздельный,свежий ремонт,,кирпичный,1 из 12
https://krisha.kz/a/show/1008815930,"4-комнатная квартира · 104 м² · 10/10 этаж, Казыбек би 3, 3/1, 3/2",75000000,51.126266691552,71.392995095027,лоджия,,"решетки на окнах, охрана, видеонаблюдение, видеодомофон",нет,Нет,3 м,2022,"Астана, Нура р-н",бронированная,Sen,,полностью,рядом охраняемая стоянка,104 м²,ламинат,совмещенный,,,монолитный,10 из 10
https://krisha.kz/a/show/1012947325,"1-комнатная квартира · 39 м² · 6/9 этаж, Улы Дала 67, 69, 15, 15/1, 17, 17/1, 2, 4, 6, 40 — Аль Фараби",27000000,51.093480638808,71.445667108783,лоджия,да,,нет,Нет,2.7 м,2015,"Астана, Есильский р-н",металлическая,Арнау,,полностью,паркинг,39 м²,,совмещенный,,,кирпичный,6 из 9
https://krisha.kz/a/show/695210590,"3-комнатная квартира · 81 м² · 6/18 этаж, Е-36 5",44900000,51.125201730516,71.384544187491,лоджия,,,нет,Нет,3 м,2024,"Астана, Нура р-н",,Respublika,,,паркинг,81 м²,,2 с/у и более,,,монолитный,6 из 18
https://krisha.kz/a/show/1009992896,"3-комнатная квартира · 87 м² · 10/12 этаж, Аскара Токпанова 18",65000000,43.236519,76.814096,,,,нет,Нет,3.3 м,2025,"Астана, Алматы р-н",,Tumar Exclusive,,,паркинг,87 м²,,2 с/у и более,черновая отделка,,монолитный,10 из 12
https://krisha.kz/a/show/1012748429,"2-комнатная квартира · 71 м² · 3/10 этаж, Достык 12/1",36000000,51.125533,71.426854,,,,нет,Нет,2.7 м,2007,"Астана, Есильский р-н",,Тулпар,,,паркинг,71 м²,,,,,кирпичный,3 из 10
https://krisha.kz/a/show/1006940912,"3-комнатная квартира · 68.1 м² · 5/9 этаж, абылайхана 39",32000000,51.15375,71.490329,лоджия,да,,,Нет,2.7 м,1990,"Астана, Алматы р-н",металлическая,,,полностью,,68.1 м²,,раздельный,"не новый, но аккуратный ремонт",,панельный,5 из 9
https://krisha.kz/a/show/1012526886,"2-комнатная квартира · 53 м² · 1/12 этаж, Караменде би Шакаулы 9/1",23500000,51.1738040784,71.368907953432,несколько балконов или лоджий,,"домофон, видеонаблюдение",нет,Нет,2.7 м,2021,"Астана, Сарыарка р-н",,Баспана Коктал,,полностью,паркинг,"53 м², Площадь кухни — 9.1 м²",ламинат,раздельный,свежий ремонт,,кирпичный,1 из 12
https://krisha.kz/a/show/1008815930,"4-комнатная квартира · 104 м² · 10/10 этаж, Казыбек би 3, 3/1, 3/2",75000000,51.126266691552,71.392995095027,лоджия,,"решетки на окнах, охрана, видеонаблюдение, видеодомофон",нет,Нет,3 м,2022,"Астана, Нура р-н",бронированная,Sen,,полностью,рядом охраняемая стоянка,104 м²,ламинат,совмещенный,,,монолитный,10 из 10
https://krisha.kz/a/show/1012743600,"1-комнатная квартира · 53 м² · 8/9 этаж, Жирентаева 2",26000000,51.146608,71.477519,балкон,да,,нет,Нет,2.7 м,2007,"Астана, Алматы р-н",,,проводной,,,"53 м², Площадь кухни — 11 м²",,совмещенный,"не новый, но аккуратный ремонт",есть возможность подключения,кирпичный,8 из 9
