iter	RMSE
316	0.1360782739
317	0.1360727659
318	0.1359744635
319	0.1359190195
320	0.135874593
321	0.1358062103
322	0.1357287887
323	0.1357245248
324	0.1356527342
325	0.1355646771
326	0.1354841932
327	0.1354303706
328	0.1353906566
329	0.1353447024
330	0.1353002918
331	0.1352659573
332	0.1351880399
333	0.1351173113
334	0.135115324
335	0.1350439583
336	0.1349735837
337	0.1349197701
338	0.1349178448
339	0.1347989571
340	0.1347383856
341	0.1346447539
342	0.1345858245
343	0.1344172114
344	0.1343673633
345	0.1343655517
346	0.1343625768
347	0.1343600323
348	0.1342995392
349	0.1342034238
350	0.1341469806
351	0.1340635083
352	0.1340252768
353	0.1339569589
354	0.1338880294
355	0.1338435457
356	0.1338149185
357	0.1337600091
358	0.1337117872
359	0.133612233
360	0.1335797912
361	0.1334676592
362	0.1333653554
363	0.1333023727
364	0.1332764524
365	0.1332190452
366	0.133075327
367	0.1330729634
368	0.1329987074
369	0.1329491363
370	0.1328891407
371	0.1328436793
372	0.1327870114
373	0.1327000987
374	0.1326618577
375	0.1326073966
376	0.1324955008
377	0.1324189456
378	0.1323391361
379	0.1322441298
380	0.1322122582
381	0.1321435308
382	0.1320634062
383	0.1320183878
384	0.131975277
385	0.1319518221
386	0.1319008535
387	0.1318055858
388	0.1317863102
389	0.1317299171
390	0.1316306869
391	0.1315366118
392	0.1314794043
393	0.1314212351
394	0.1313884263
395	0.1312971855
396	0.1312067688
397	0.1311770725
398	0.1311367312
399	0.1310388869
400	0.1309752423
401	0.1309275372
402	0.1307820363
403	0.1307494134
404	0.1306965612
405	0.1306419781
406	0.1305977882
407	0.1305426484
408	0.1304591566
409	0.1304007621
410	0.1303730559
411	0.1303204191
412	0.1302713307
413	0.1302265372
414	0.130192941
415	0.1301476806
416	0.1300652263
417	0.129990085
418	0.1298908784
419	0.1298423064
420	0.1298021563
421	0.129770395
422	0.1296903394
423	0.1296612812
424	0.1295927731
425	0.1295562475
426	0.1295199945
427	0.1294273755
428	0.129358734
429	0.129267126
430	0.1292217606
431	0.1291760564
432	0.1291366337
433	0.1290581822
434	0.1289634976
435	0.1289186743
436	0.1288689639
437	0.1288279566
438	0.1288134042
439	0.1287512541
440	0.128671628
441	0.1286228177
442	0.1285754789
443	0.1285137045
444	0.1284510672
445	0.1283715278
446	0.1283054141
447	0.1282423391
448	0.1281863505
449	0.1281521221
450	0.1281269377
451	0.1280981347
452	0.1280634812
453	0.1280059776
454	0.127973118
455	0.12793627
456	0.1278961134
457	0.1278616316
458	0.1278382076
459	0.1277529501
460	0.1276969924
461	0.1276850631
462	0.1276311457
463	0.1275789303
464	0.1274388416
465	0.1273973613
466	0.1273689804
467	0.1273239257
468	0.1272841904
469	0.1272734488
470	0.1272200009
471	0.1271759563
472	0.1271010213
473	0.1270535823
474	0.1270064958
475	0.1269835939
476	0.1269812886
477	0.126921495
478	0.1269081555
479	0.12687162
480	0.1268083773
481	0.126799961
482	0.1267983313
483	0.1267313842
484	0.1266923393
485	0.1266744922
486	0.1266097339
487	0.1265417821
488	0.1265220257
489	0.1264344878
490	0.1264054321
491	0.1263579895
492	0.126282537
493	0.1262204247
494	0.1261750042
495	0.1261171793
496	0.1260510689
497	0.1260097452
498	0.125954632
499	0.1259514511
